YEAR_BUILT,ASSESSCLAS,BLDG_DESC,BLDG_FEET,GARAGE,FIREPLACE,BASEMENT,BSMTDEVL,ASSESSMENT,LATITUDE,LONGITUDE,age
2003.0,Residential,1 Storey & Basement,1538,Y,Y,Y,Y,516000,53.523804901800005,-113.261275896,15.0
1985.0,Residential,2 Storey & Basement,1899,Y,Y,Y,Y,434000,53.526014707799995,-113.2750700615,33.0
1969.0,Residential,1 Storey & Basement,1119,Y,Y,Y,Y,337000,53.5272063756,-113.2885669607,49.0
1965.0,Residential,Split Entry,1235,Y,N,Y,Y,411000,53.5261947415,-113.31169864370001,53.0
1979.0,Residential,1 Storey & Basement,1963,Y,Y,Y,Y,660000,53.6005829077,-113.0273256252,39.0
1989.0,Residential,Split Entry,2060,Y,Y,Y,Y,579000,53.4210879307,-113.2093247928,29.0
1979.0,Residential,Split Entry,1706,Y,Y,Y,Y,510000,53.4273394283,-113.21206401379999,39.0
1974.0,Residential,1 Storey & Basement,1515,Y,Y,Y,Y,500000,53.379286062,-113.1601952363,44.0
2009.0,Residential,2 Storey & Basement,3302,Y,Y,Y,Y,1150000,53.468337912200006,-113.21579844440001,9.0
2014.0,Residential,2 Storey & Basement,2326,Y,Y,Y,N,571000,53.5401415641,-113.2861171442,4.0
2016.0,Residential,2 Storey & Basement,2402,Y,Y,Y,Y,621000,53.5567122797,-113.2902480865,2.0
2004.0,Residential,2 Storey & Basement,1562,Y,Y,Y,Y,397000,53.543273072299996,-113.2710452749,14.0
2003.0,Residential,1 Storey & Basement,2168,Y,Y,Y,Y,1027000,53.4949495713,-113.3273889573,15.0
2004.0,Residential,2 Storey & Basement,1832,Y,Y,Y,Y,475000,53.5535088174,-113.2545023903,14.0
1977.0,Residential,2 Storey Basementless,1939,Y,Y,N,N,421000,53.4093573434,-112.8913754364,41.0
2003.0,Residential,2 Storey & Basement,1534,Y,N,Y,N,410000,53.5233242857,-113.2581935889,15.0
2003.0,Residential,Split Entry & Bonus Upper,1579,Y,Y,Y,Y,526000,53.372292559399995,-112.85574700049999,15.0
2002.0,Residential,Split Entry,1099,Y,Y,Y,Y,386000,53.4660934613,-112.95021962889999,16.0
2003.0,Residential,2 Storey & Basement,1899,Y,Y,Y,Y,479000,53.5530070986,-113.2566419664,15.0
1983.0,Residential,1 Storey & Basement,831,N,Y,Y,N,215000,53.4058807288,-112.9195891569,35.0
2003.0,Residential,2 Storey & Basement,1396,Y,Y,Y,N,342000,53.549541154399996,-113.27318148350001,15.0
2005.0,Residential,2 Storey & Basement,1877,Y,Y,Y,Y,454000,53.544117173400004,-113.2702579417,13.0
2003.0,Residential,2 Storey & Basement,1893,Y,N,Y,N,432000,53.5245536909,-113.25819297540001,15.0
2004.0,Residential,2 Storey & Basement,2163,Y,Y,Y,Y,527000,53.523842718699996,-113.2634604661,14.0
2003.0,Residential,Split Entry & Bonus Upper,1358,Y,Y,Y,Y,471000,53.5353516741,-113.25986536020001,15.0
2003.0,Residential,2 Storey & Basement,1561,Y,N,Y,Y,415000,53.554439278800004,-113.25764753959999,15.0
2002.0,Residential,2 Storey & Basement,1410,Y,N,Y,Y,383000,53.552261432799995,-113.2494363887,16.0
2002.0,Residential,1 Storey & Basement,1600,Y,Y,Y,Y,591000,53.380294177299994,-112.9141929133,16.0
2003.0,Residential,Split Entry & Bonus Upper,1454,Y,Y,Y,Y,497000,53.5129298521,-113.25111205540001,15.0
2004.0,Residential,1 Storey & Basement,1430,Y,Y,Y,Y,568000,53.5154355533,-113.252244215,14.0
2002.0,Residential,2 Storey & Basement,1500,Y,Y,Y,Y,419000,53.5514707607,-113.2486793794,16.0
2003.0,Residential,1 Storey & Basement,1538,Y,Y,Y,Y,502000,53.524048639600004,-113.266593794,15.0
2002.0,Residential,2 Storey & Basement,2304,Y,Y,Y,Y,727000,53.446989512100004,-112.8806535902,16.0
2003.0,Residential,2 Storey & Basement,2183,Y,Y,Y,N,537000,53.515189479700005,-113.2821642446,15.0
1996.0,Residential,1 Storey & Basement,1040,N,N,Y,Y,369000,53.41529473,-112.87371878389999,22.0
2004.0,Residential,2 Storey & Basement,2041,Y,Y,Y,N,482000,53.5537745675,-113.256101524,14.0
2002.0,Residential,2 Storey & Basement,2144,Y,Y,Y,Y,519000,53.535934635299995,-113.2606017949,16.0
1978.0,Residential,1 3/4 Storey Basementless,1265,Y,Y,N,N,318000,53.404414933199995,-112.9220105651,40.0
2003.0,Residential,2 Storey & Basement,2068,Y,Y,Y,Y,480000,53.527317975200006,-113.2517053992,15.0
2005.0,Residential,1 Storey & Basement,3660,Y,Y,Y,Y,2124000,53.606883390200004,-112.9635874843,13.0
2004.0,Residential,2 Storey & Basement,2048,Y,Y,Y,Y,483000,53.544117173400004,-113.2702579417,14.0
2003.0,Residential,2 Storey & Basement,1502,Y,N,Y,N,427000,53.5237393488,-113.2581933855,15.0
2015.0,Residential,2 Storey & Basement,4625,Y,Y,Y,Y,1773000,53.4858089529,-113.2824933143,3.0
1989.0,Residential,1 Storey & Basement,1791,Y,Y,Y,Y,539000,53.4758788013,-112.9400570578,29.0
