feature,coefficient
LATITUDE,-344879.76869522734
BLDG_DESC_3 Storey & Basement,-159302.3664532965
BLDG_DESC_2 Storey Slab on Grade,-117134.23644879542
BLDG_DESC_3 Storey Basementless,-108070.58526055038
BLDG_DESC_1 3/4 Sty. Slab on Grade,-99600.66485367564
BLDG_DESC_2 Storey Basementless,-92237.20759172057
BLDG_DESC_missing_value,-59728.258185292594
BLDG_DESC_1 1/2 Sty. Slab on Grade,-57833.174384639846
BLDG_DESC_2 Storey & Basement,-37562.229108668216
BLDG_DESC_1 3/4 Storey Basementless,-28874.573771638854
BASEMENT_Y,-27802.051131733126
BLDG_DESC_A-Frame Basementless,-25754.04577706498
BLDG_DESC_1 1/2 Storey Basementless,-24797.542319141212
AGE,-2683.371819799999
BLDG_FEET,284.84834475815296
BLDG_DESC_1 3/4 Storey & Basement,951.9555596974096
FIREPLACE_Y,2186.055840973386
GARAGE_Y,20637.765137199414
BLDG_DESC_1 Storey Slab on Grade,30865.552069950136
LONGITUDE,31710.761994339526
BLDG_DESC_Manufactured Home,33102.39187286308
BLDG_DESC_1 1/2 Storey & Basement,33386.82340435536
BSMTDEVL_Y,42318.11212233022
BLDG_DESC_1 Storey Basementless,43889.509271782765
BLDG_DESC_Split Entry & Bonus Upper,52452.59764508986
BLDG_DESC_Split Entry,104547.58050514897
BLDG_DESC_Split Level,118259.93340319581
BLDG_DESC_1 Storey & Bonus Upper,122782.79097166617
BLDG_DESC_Split Level & Crawl Space,133926.63682176697
BLDG_DESC_1 Storey & Basement,136729.11402716168
